id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon
96436B1688765,Klosterskogen sykkeltellepunkt,BICYCLE,Skien,Vestfold og Telemark,R,RV36 S2D100 m5036,59.187763,9.600905
72525V930309,LAKSEBYBUKT,VEHICLE,Vadsø,Troms og Finnmark,E,EV75 S8D1 m2727,70.088776,29.655777
25258V521404,Sannerholt,VEHICLE,Nome,Vestfold og Telemark,R,RV36 S7D1 m276,59.291769,9.248973
16467V249421,Spjelkavik S.,VEHICLE,Ålesund,Møre og Romsdal,F,FV6210 S1D1 m593,62.456923,6.362688
44003V705284,KORSLUND Ø,VEHICLE,Hamar,Innlandet,F,FV227 S2D1 m3408,60.84951,11.161205
88768V705253,BERG Ø,VEHICLE,Kongsvinger,Innlandet,F,FV1868 S3D1 m4734,60.336886,12.297254
54608V320601,BERGE ØST,VEHICLE,Suldal,Rogaland,R,RV13 S14D1 m1996,59.473939,6.298016
47140V625367,RV 4 Rødtvet,VEHICLE,Oslo,Oslo,R,RV4 S1D1 m4704,59.947857,10.85264
90101V930271,VARANGERBOTN VEST,VEHICLE,Unjàrga-Nesseby,Troms og Finnmark,E,EV6 S234D1 m16310,70.1731,28.532778
53810V2172079,BOLSTAD TUNNEL,VEHICLE,Holmestrand,Vestfold og Telemark,E,EV18 S44D1 m3638,59.604152,10.174541
06966V971804,RAKKESTADSVINGEN ØST,VEHICLE,Fredrikstad,Viken,F,FV130 S1D1 m682,59.208606,10.989882
07068V704846,IMERSLUND N,VEHICLE,Hamar,Innlandet,F,FV1796 S1D1 m700,60.81962,11.114411
49425V320594,Jørpeland sør,VEHICLE,Strand,Rogaland,F,FV523 S1D1 m7968,59.014734,6.049257
27069V885282,Nordvika v/Værstasjon,VEHICLE,Fauske,Nordland,R,RV80 S2D1 m3701,67.32927,15.173708
31498V2574580,SALHUSVEIEN,VEHICLE,Bergen,Vestland,F,FV5300 S1D1 m43,60.471445,5.327028
66990V444219,HVAM NORD,VEHICLE,Lillestrøm,Viken,E,EV6 S19D1 m2360,59.989594,11.028942
52015V885837,Kleivodden-Hestvika,VEHICLE,Andøy,Nordland,F,FV7702 S1D1 m40427,69.295328,15.994401
52209V971422,PRESTEBAKKE TPK,VEHICLE,Halden,Viken,F,FV884 S1D1 m11208,58.99018,11.540663
09047V805597,VINJE VEST,VEHICLE,Voss,Vestland,E,EV16 S12D1 m8062,60.785713,6.499605
10437V704575,KALSVEEN S,VEHICLE,Stange,Innlandet,R,RV3 S1D1 m976,60.709205,11.279632
86261V705105,SPUTNESET,VEHICLE,Rendalen,Innlandet,F,FV237 S6D1 m14807,61.688363,11.217833
91490V1125788,E8 Gardeborgbakken,VEHICLE,Storfjord,Troms og Finnmark,E,EV8 S10D1 m11937,69.17881,20.745145
77209V1060620,FRYA,VEHICLE,Sør-Fron,Innlandet,E,EV6 S46D1 m6089,61.547985,10.039372
01141V319864,BORE,VEHICLE,Klepp,Rogaland,F,FV507 S1D1 m115,58.791215,5.595407
77883V625445,Gaustad rampe mot Ullevål,VEHICLE,Oslo,Oslo,R,RV150 S2D1 m1558 KD4 m128,59.945911,10.712904
98841V885940,BEISFJORD BRU,VEHICLE,Narvik,Nordland,E,EV6 S164D1 m4153,68.409181,17.426214
83740V384360,KANALEN FLORØ,VEHICLE,Kinn,Vestland,F,FV5704 S1D1 m4979,61.594493,5.052658
84583V1060754,SKURENGSLIA (FV417),VEHICLE,Sel,Innlandet,F,FV2598 S3D1 m1166,61.675173,9.533003
81885V2574569,ÅSAMYRANE,VEHICLE,Bergen,Vestland,F,FV578 S2D1 m413,60.471455,5.328995
76076V705275,SOLVANG,VEHICLE,Hamar,Innlandet,F,FV224 S1D1 m1638,60.807141,11.087137
20191V705201,MOTRØA S,VEHICLE,Tynset,Innlandet,R,RV3 S21D1 m9018,62.280434,10.72408
95375V121638,VOLLAN,VEHICLE,Lyngdal,Agder,F,FV472 S1D10 m1214,58.131945,7.03742
87557V180903,ELGSKAUÅSTUNNELEN,VEHICLE,Asker,Viken,E,EV134 S47D1 m2894,59.722724,10.446323
26605V578321,Branes Fv6874,VEHICLE,Levanger,Trøndelag,F,FV6874 S1D1 m2506,63.731882,11.29268
75249V578315,Gjemble mot Alstadhaug,VEHICLE,Levanger,Trøndelag,F,FV6866 S2D1 m4559,63.748798,11.270529
27789V885230,HELGELANDSBRU ØST,VEHICLE,Alstahaug,Nordland,F,FV17 S41D1 m12331,66.023665,12.683523
07152V705268,MOELV S,VEHICLE,Ringsaker,Innlandet,F,FV213 S3D1 m7563,60.922757,10.702197
73168V705238,ELVÅL S,VEHICLE,Rendalen,Innlandet,F,FV30 S25D1 m560,61.928452,11.056692
